total_value,asset_value,funds,risk,return,win_rate,trades,positions,date
9855,6054,3801,0.4497,1.0265,0.4226,379,23,2001-08-14
9848,5789,4059,0.4489,0.985,0.3655,384,21,2001-08-15
9832,5547,4285,0.4485,0.9752,0.3476,388,20,2001-08-16
9828,5365,4463,0.4449,0.9346,0.3655,392,19,2001-08-17
9782,5614,4168,0.4419,1.0017,0.3774,394,20,2001-08-20
9851,5236,4616,0.4405,1.0218,0.3595,398,18,2001-08-21
9846,5442,4405,0.4374,0.8856,0.2881,399,19,2001-08-22
9844,5782,4062,0.4343,1,0.3087,399,21,2001-08-23
9853,6136,3716,0.4304,1,0.3307,399,23,2001-08-24
9884,6221,3663,0.4301,0.9901,0.3307,401,24,2001-08-27
9863,6504,3359,0.429,0.9781,0.3307,402,26,2001-08-28
9798,6013,3785,0.4265,0.9565,0.295,406,25,2001-08-29
9769,5546,4223,0.4242,0.9988,0.2891,410,24,2001-08-30
9720,5432,4287,0.4231,1.0106,0.3248,412,25,2001-08-31
9702,4615,5087,0.4235,1.0017,0.2737,419,21,2001-09-04
9714,4420,5294,0.4242,1.0091,0.313,423,20,2001-09-05
9692,4167,5525,0.4237,0.9751,0.2952,428,18,2001-09-06
9620,3027,6592,0.4231,0.9969,0.2753,437,12,2001-09-07
9545,3422,6122,0.4189,0.9064,0.2396,439,13,2001-09-10
9428,2893,6536,0.4137,0.9439,0.2039,443,12,2001-09-17
9373,2825,6549,0.4059,0.9241,0.2039,446,12,2001-09-18
9332,2567,6765,0.3979,0.9037,0.1833,449,12,2001-09-19
9270,2291,6978,0.3886,0.9049,0.1613,452,12,2001-09-20
9217,1911,7305,0.3785,0.9017,0.1791,456,11,2001-09-21
9203,1976,7227,0.3686,0.9115,0.1791,458,12,2001-09-24
9232,1769,7464,0.3626,1.0122,0.2149,462,11,2001-09-25
9280,2339,6941,0.36,1,0.2123,462,14,2001-09-26
9257,2473,6784,0.3631,1.0804,0.2481,464,15,2001-09-27
9339,2847,6492,0.3669,1.0378,0.2634,466,16,2001-09-28
9371,3038,6333,0.3735,1.0862,0.2812,468,17,2001-10-01
9416,3246,6170,0.3792,1.0517,0.3288,471,17,2001-10-02
9564,3791,5773,0.3849,1.0365,0.3844,473,18,2001-10-03
9691,4569,5123,0.3933,1.175,0.4558,474,20,2001-10-04
9609,5378,4231,0.4001,1,0.4705,474,23,2001-10-05
9543,5735,3809,0.4106,1.1564,0.542,476,24,2001-10-08
9479,6289,3191,0.4148,0.9744,0.542,477,26,2001-10-09
9386,6330,3057,0.4189,0.9945,0.5658,480,26,2001-10-10
9680,7185,2495,0.4156,0.9322,0.5479,481,28,2001-10-11
9762,7823,1939,0.4131,1,0.587,481,31,2001-10-12
9668,7686,1982,0.4093,0.9557,0.5513,484,31,2001-10-15
9733,8149,1585,0.4078,1,0.5754,484,34,2001-10-16
9885,8430,1455,0.4057,0.9813,0.5039,485,36,2001-10-17
9471,8102,1369,0.4008,0.876,0.4682,486,38,2001-10-18
9389,7507,1881,0.3932,0.9219,0.3968,490,37,2001-10-19
9387,7562,1824,0.3886,1.0688,0.4206,492,38,2001-10-22
9568,7135,2433,0.3887,1.0107,0.367,496,37,2001-10-23
9582,5956,3626,0.3916,1.0108,0.3353,505,31,2001-10-24
9438,5836,3601,0.3918,0.9834,0.3265,508,31,2001-10-25
9603,5312,4291,0.3934,1.0547,0.3027,514,28,2001-10-26
9705,5390,4315,0.4005,1.184,0.3742,517,28,2001-10-29
9612,5182,4430,0.4074,0.9731,0.3932,522,26,2001-10-30
9509,4844,4664,0.4151,1.0854,0.4111,526,24,2001-10-31
9523,5135,4388,0.4178,1.0214,0.4433,527,25,2001-11-01
9573,5405,4168,0.4237,1.0755,0.5148,529,25,2001-11-02
9710,5585,4125,0.426,0.9738,0.523,532,24,2001-11-05
9686,5675,4011,0.4283,1.0223,0.5587,536,23,2001-11-06
9860,5825,4036,0.4296,1.0425,0.6123,540,22,2001-11-07
9767,6125,3642,0.4305,0.9625,0.6302,544,21,2001-11-08
9777,6914,2863,0.4387,1.2507,0.6302,545,23,2001-11-09
9769,7586,2183,0.4488,1.1047,0.6837,546,25,2001-11-12
9849,7668,2181,0.4601,1.0044,0.6917,549,25,2001-11-13
9992,7802,2190,0.4658,1.0652,0.7155,552,25,2001-11-14
10002,6556,3446,0.4707,1.0825,0.7075,561,19,2001-11-15
10100,7181,2919,0.4776,1.0652,0.7075,564,19,2001-11-16
10071,7391,2679,0.4796,0.9141,0.6885,567,19,2001-11-19
10093,8009,2084,0.4797,1.0226,0.7421,568,21,2001-11-20
10045,8162,1883,0.4777,1.0052,0.7063,570,22,2001-11-21
10072,8623,1449,0.4745,0.8768,0.6349,571,24,2001-11-23
10089,8136,1953,0.47,0.9858,0.6111,574,24,2001-11-26
10246,7267,2979,0.4666,1.0373,0.62,582,19,2001-11-27
10391,7868,2523,0.4779,1.3368,0.6379,583,21,2001-11-28
10201,7961,2240,0.4893,0.9872,0.62,585,22,2001-11-29
10291,7990,2301,0.501,1.0497,0.5962,588,22,2001-11-30
10323,6811,3511,0.5033,1.0315,0.5873,596,17,2001-12-03
10202,6573,3628,0.5057,0.9917,0.5575,600,16,2001-12-04
10327,6963,3364,0.507,1.016,0.5813,602,17,2001-12-05
10760,6589,4171,0.5116,1.1349,0.6131,608,14,2001-12-06
10779,6459,4320,0.5225,1.1937,0.6131,612,13,2001-12-07
10585,6694,3891,0.5318,0.9635,0.6131,615,13,2001-12-10
10453,7047,3406,0.5362,0.9791,0.5655,618,13,2001-12-11
10534,6523,4011,0.5339,0.9876,0.5476,622,12,2001-12-12
10487,7222,3265,0.532,0.9785,0.5476,623,14,2001-12-13
10412,8079,2334,0.5309,1,0.5629,623,17,2001-12-14
10454,7486,2968,0.5291,0.9683,0.5361,627,16,2001-12-17
10658,7924,2734,0.5291,1.0322,0.5361,629,17,2001-12-18
10577,7063,3514,0.5295,1.0106,0.5719,633,16,2001-12-19
10530,7800,2730,0.5316,1.0202,0.5957,634,18,2001-12-20
10386,7191,3195,0.531,0.9521,0.551,638,17,2001-12-21
10505,5715,4790,0.5299,0.9954,0.5689,646,12,2001-12-24
10521,7099,3422,0.5282,1,0.5381,646,15,2001-12-26
10644,6715,3929,0.5292,1.0364,0.5202,650,14,2001-12-27
10685,7158,3527,0.531,1.0187,0.5202,652,15,2001-12-28
